tag_id,description,units,range_min,range_max,scan_rate_sec,pump
U1_BFPA_SUCT_PRESS,BFP-A Suction pressure,bar(g),0,15,1,A
U1_BFPA_DISCH_PRESS,BFP-A Discharge pressure,bar(g),0,200,1,A
U1_BFPA_DIFF_PRESS,BFP-A Differential pressure,bar,0,185,1,A
U1_BFPA_FW_FLOW,BFP-A Feedwater flow,t/hr,0,350,1,A
U1_BFPA_RECIRC_FLOW,BFP-A Recirculation flow,t/hr,0,100,1,A
U1_BFPA_SPEED,BFP-A Pump speed,RPM,0,3600,1,A
U1_BFPA_MTR_CURRENT,BFP-A Motor current,A,0,250,1,A
U1_BFPA_MTR_POWER,BFP-A Motor power,kW,0,2000,1,A
U1_BFPA_MTR_WINDING_TEMP,BFP-A Motor winding temperature,degC,0,180,5,A
U1_BFPA_BRG_DE_TEMP,BFP-A Pump DE journal bearing temp,degC,0,120,5,A
U1_BFPA_BRG_NDE_TEMP,BFP-A Pump NDE journal bearing temp,degC,0,120,5,A
U1_BFPA_THR_ACT_TEMP,BFP-A Thrust bearing active side temp,degC,0,120,5,A
U1_BFPA_THR_INACT_TEMP,BFP-A Thrust bearing inactive side temp,degC,0,120,5,A
U1_BFPA_MTR_DE_BRG_TEMP,BFP-A Motor DE bearing temp,degC,0,120,5,A
U1_BFPA_MTR_NDE_BRG_TEMP,BFP-A Motor NDE bearing temp,degC,0,120,5,A
U1_BFPA_VIB_DE_X,BFP-A Shaft vibration DE X-probe,um_pk-pk,0,150,1,A
U1_BFPA_VIB_DE_Y,BFP-A Shaft vibration DE Y-probe,um_pk-pk,0,150,1,A
U1_BFPA_VIB_NDE_X,BFP-A Shaft vibration NDE X-probe,um_pk-pk,0,150,1,A
U1_BFPA_VIB_NDE_Y,BFP-A Shaft vibration NDE Y-probe,um_pk-pk,0,150,1,A
U1_BFPA_AXIAL_DISP,BFP-A Axial displacement,mm,-1.0,1.0,1,A
U1_BFPA_LO_HDR_PRESS,BFP-A Lube oil header pressure,bar(g),0,3.0,5,A
U1_BFPA_LO_SUPPLY_TEMP,BFP-A Lube oil supply temperature,degC,0,100,5,A
U1_BFPA_LO_RETURN_TEMP,BFP-A Lube oil return temperature,degC,0,100,5,A
U1_BFPA_LO_TANK_LVL,BFP-A Lube oil tank level,%,0,100,5,A
U1_BFPA_LO_FILTER_DP,BFP-A Lube oil filter diff pressure,bar,0,2.0,5,A
