application_id,feeder_id,substation_id,applicant_name,project_type,requested_capacity_kw,technology_type,study_level,study_status,application_date,study_completion_date,estimated_cost,system_upgrades_required,ieee_1547_category,status
IQ-00001,FDR-0093,SUB-020,Tesla Corp,commercial_rooftop_solar,72,solar_pv,Level 2 - Supplemental,complete,2024-01-14,2024-03-13,878,transformer_upgrade,Category II,pending
IQ-00002,FDR-0092,SUB-020,Phoenix Solar Co LP,ev_charging_facility,4326,load_only,Level 2 - Supplemental,not_started,2024-06-15,2024-08-19,115361,none,Category II,approved
IQ-00003,FDR-0076,SUB-017,Cactus Power Corp,commercial_rooftop_solar,75,solar_pv,Level 2 - Supplemental,complete,2024-10-13,2024-11-23,4637,voltage_regulator,Category II,withdrawn
IQ-00004,FDR-0035,SUB-009,Pioneer Solar LP,community_solar,4779,solar_pv,Level 2 - Supplemental,waived,2024-12-18,2025-02-26,99290,reconductoring,Category II,active
IQ-00005,FDR-0006,SUB-002,Phoenix Solar Co LP,community_solar,4977,solar_pv,Level 2 - Supplemental,in_progress,2023-09-12,2023-10-20,192294,protection_relay_update,Category II,active
IQ-00006,FDR-0049,SUB-012,NextEra LP,commercial_rooftop_solar,336,solar_pv,Level 2 - Supplemental,in_progress,2023-04-14,2023-05-31,447060,transformer_upgrade,Category II,approved
IQ-00007,FDR-0102,SUB-023,Cactus Power Corp,commercial_rooftop_solar,450,solar_pv,Level 2 - Supplemental,not_started,2022-01-05,2022-02-26,284958,protection_relay_update,Category II,pending
IQ-00008,FDR-0011,SUB-004,AES Corp,ev_charging_facility,1489,load_only,Level 2 - Supplemental,waived,2024-12-26,2025-02-05,211406,voltage_regulator,Category II,in_review
IQ-00009,FDR-0099,SUB-022,Mesquite Energy LLC,community_solar,3598,solar_pv,Level 2 - Supplemental,complete,2023-11-25,2024-01-28,370266,voltage_regulator,Category II,active
IQ-00010,FDR-0071,SUB-016,Tesla LLC,residential_solar_storage,10,solar_plus_storage,Level 1 - Fast Track,not_started,2022-02-05,2022-02-23,3061,protection_relay_update,Category I,approved
